页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
1,97060000,超过100年的古物,0,0, , 
1,9706,超过100年的古物：, , , , 
1,97050000,具有动物学、植物学、矿物学、解剖学、历史学、考古学、古生物学、人种学或钱币学意义的收集品及珍藏品,0,0, , 
1,9705,具有动物学、植物学、 矿物学、解剖学、历史学、考古学、古生物学、人种学或钱币学意义的收集品及珍藏品：, , , , 
1,97040090,---其他,6,50, , 
1,97040010,---邮票,4,50, , 
1,9704,使用过或未使用过的邮票、印花税票、邮戳印记、首日封、邮政信笺（印有邮票的纸品)及类似品,但税目49.07的货品除外：, , , , 
1,97030000,各种材料制的雕塑品原件,1,50, , 
1,9703,各种材料制的雕塑品原件：, , , , 
1,97020000,雕版画、印制画、石印画的原本,1,50, , 
1,9702,雕版画、印制画、石印画的原本：, , , , 
1,97019000,-其他,6,50, , 
1,97011020,---复制品,6,50, , 
1,97011019,----其他,1,50, , 
1,97011011,----唐卡,6,50, , 
1,9701101,---原件：, , , , 
1,97011,-油画、粉画及其他手绘画：, , , , 
1,9701,油画、粉画及其他手绘画，但带有手工绘制及手工描饰的制品或税目49.06的图纸除外;拼贴画及类似装饰板：, , , , 
1,96200000,独脚架、双脚架、三脚架及类似品,8,80, , 
1,9620,独脚架、双脚架、三脚架及类似品：, , , , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
2,96190090,---其他,6,130, , 
2,96190020,---卫生巾（护垫)及止血塞,4,80, , 
2,96190019,----其他,4,80, ,0
2,96190011,----供婴儿使用的,4,80, ,0
2,9619001,--- 尿裤及尿布：, , , , 
2,9619,任何材料制的卫生巾（护垫)及止血塞、婴儿尿布及尿布衬里和类似品：, , , , 
2,96180000,裁缝用人体模型及其他人体活动模型；橱窗装饰用的自动模型及其他活动陈列品,10,80, , 
2,9618,裁缝用人体模型及其他人体活动模型；橱窗装饰用的自动模型及其他活动陈列品：, , , , 
2,96170090,---其他,8,130, , 
2,96170019,----其他,8,130, , 
2,96170011,----玻璃内胆制,8,130, , 
2,9617001,---保温瓶：, , , , 
2,9617,带壳的保温瓶和其他真空容器及其零件，但玻璃瓶胆除外：, , , , 
2,96162000,-粉扑及粉拍，施敷脂粉或化妆品用,6,130, , 
2,96161000,-香水喷雾器或类似的化妆用喷雾器及其座架、喷头,6,130, , 
2,9616,香水喷雾器或类似的化妆用喷雾器及其座架、喷头；粉扑及粉拍，施敷脂粉或化妆品用：, , , , 
2,96159000,-其他,6,130, , 
2,96151900,--其他,6,130, , 
2,96151100,--硬质橡胶或塑料制,6,130, , 
2,96151,-梳子、发夹及类似品：, , , , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
3,9615,梳子、发夹及类似品；发卡、卷发夹、卷发器或类似品及其零件，但税目85.16的货品除外：, , , , 
3,96140090,---其他,10,130, , 
3,96140010,---烟斗及烟斗头,10,130, , 
3,9614,烟斗（包括烟斗头)和烟嘴及其零件：, , , , 
3,96139000,-零件,10,130, , 
3,96138000,-其他打火器,10,130, , 
3,96132000,-袖珍气体打火机，可充气的,10,130, , 
3,96131000,-袖珍气体打火机，一次性的,10,130, , 
3,9613,香烟打火机和其他打火器（不论是机械的，还是电气的)及其零件，但打火石及打火机芯除外：, , , , 
3,96122000,-印台,10,100, , 
3,96121000,-色带,10.5,35, , 
3,9612,打字机色带或类似色带，已上油或经其他方法处理能着色的，不论是否装轴或装盒；印台，不论是否已加印油或带盒子：, , , , 
3,96110000,手用日期戳、封缄戳、编号戳及类似印戳（包括标签压印器)；手工操作的排字盘及带有排字盘的手印器,8,80, , 
3,9611,手用日期戳、封缄戳、编号戳及类似印戳（包括标签压印器)；手工操作的排字盘及带有排字盘的手印器：, , , , 
3,96100000,具有书写或绘画面的石板、黑板及类似板，不论是否镶框,6,80, , 
3,9610,具有书写或绘画面的石板、黑板及类似板，不论是否镶框：, , , , 
3,96099000,-其他,6,80, , 
3,96092000,-铅笔芯，黑的或其他颜色的,12,80, , 
3,96091020,---颜色铅笔,12,80, , 
3,96091010,---铅笔,12,80, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
4,96091,-铅笔及颜色铅笔：, , , , 
4,9609,铅笔（税目96.08的铅笔除外)、颜色铅笔、铅笔芯、蜡笔、图画碳笔、书写或绘画用粉笔及裁缝划粉：, , , , 
4,96089990,---其他,10,80, , 
4,96089920,---蜡纸铁笔；钢笔杆、铅笔杆及类似的笔杆,12,80, , 
4,96089910,---机器、仪器用笔,8,40, , 
4,960899,--其他：, , , , 
4,96089100,--钢笔头及笔尖粒,8,70, , 
4,96089,-其他：, , , , 
4,96086000,-圆珠笔芯，由圆珠笔头和墨芯构成,12,80, , 
4,96085000,-由上述两个或多个子目所列物品组成的成套货品,12,80, , 
4,96084000,-活动铅笔,12,80, , 
4,96083090,---其他,12,80, , 
4,96083020,---自来水笔,12,80, , 
4,96083010,---墨汁画笔,12,80, , 
4,96083,-自来水笔、铁笔型自来水笔及其他钢笔：, , , , 
4,96082000,-毡尖和其他渗水式笔尖笔及唛头笔,12,80, , 
4,96081000,-圆珠笔,8,80, , 
4,9608,圆珠笔；毡尖和其他渗水式笔尖笔及唛头笔；自来水笔、铁笔型自来水笔及其他钢笔；蜡纸铁笔；活动铅笔；钢笔杆、铅笔套及类似的笔套；上述物品的零件（包括帽、夹)，但税目96.09的货品除外：, , , , 
4,96072000,-零件,6,130, , 
4,96071900,--其他,6,130, , 
页码,税则号列,货品名称,最惠国税率,普通税率,出口税率,暂定税率
5,96071100,--装有贱金属制咪牙齿的,6,130, , 
5,96071,-拉链：, , , , 
5,9607,拉链及其零件：, , , , 
5,96063000,-纽扣芯及纽扣的其他零件；纽扣坯,6,100, , 
5,96062900,--其他,6,100, , 
5,96062200,--贱金属制，未用纺织材料包裹,6,100, , 
